DCM;-;0,91;00:00,1;;;;;;;;;;KNN;1;0,994;00:16,3;;KNN;1;0,997;00:15,9;;;;;;;;;;;;;;MLP;|[3; 3]|;0,987;35:19,2;;;;;;;;;;;;;;Segundo experimento;;;;;;;;;;;;;;;;;;;;;;;;;;
DCM;-;0,919;00:00,0;;;;;;;;;;KNN;1;0,999;00:16,1;;KNN;1;0,996;00:15,6;;;K;Taxa de acerto;Desvio Padrão;Mín;Máximo;Tempo;;;;;;MLP;|[5; 5]|;0,993;53:08,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DCM;-;0,922;00:00,0;;;;;;;;;;KNN;1;0,998;00:16,2;;KNN;1;0,996;00:15,7;;;1;99,65%;0,15%;0,993;1;00:00:16;;;;;;MLP;|[7; 7]|;0,908;04:35,6;;;Topologia;Taxa de acerto;Desvio Padrão;Min;Max;Tempo;Épocas;;;;;MLP;|[70; 70]|;0;0,9984;3:01:45.721853;14000;;Topologia;Taxa de acerto;Desvio Padrão;Mín;Máx;Épocas;;;KNN;1;0;0,99736;0:08:23.056153;;K;T. A.;D. P.;Mín;Máx
DCM;-;0,911;00:00,0;;DMC;Taxa de acerto;Desvio Padrão;Mínimo;Máximo;Tempo (s);;;KNN;1;0,997;00:16,4;;KNN;1;0,998;00:15,4;;;11;99,65%;0,18%;0,991;1;00:00:16;;;;;;MLP;|[9; 9]|;0,997;12:19,8;;;[ 1 1 ];75,65%;2,85%;73,40%;77,90%;00:41:03;7203;;;;;MLP;|[70; 70]|;1;0,998;3:01:47.417723;14000;;70;99,80%;0,02%;99,76%;99,86%;14000;;;KNN;1;1;0,99732;0:08:21.324750;;1;99,75%;0,02%;99,71%;99,78%
DCM;-;0,91;00:00,0;;-;90,57%;0,83%;88,30%;92,30%;0.05;;;KNN;1;0,995;00:15,9;;KNN;1;0,997;00:15,4;;;21;99,54%;0,21%;0,989;0,999;00:00:16;;;;;;MLP;|[11; 11]|;0,999;13:34,2;;;[ 3 3 ];99,75%;0,76%;99,70%;99,80%;01:04:59;10739,5;;;;;MLP;|[70; 70]|;2;0,99764;3:01:49.203579;14000;;;;;;;;;;KNN;1;2;0,99744;0:08:25.119476;;11;99,73%;0,02%;99,68%;99,77%
DCM;-;0,901;00:00,0;;;;;;;;;;KNN;1;0,998;00:15,9;;KNN;1;0,999;00:15,6;;;31;99,43%;0,23%;0,989;0,999;00:00:16;;;;;;MLP;|[13; 13]|;0,995;13:32,8;;;[ 5 5 ];99,55%;0,07%;99,50%;99,60%;01:14:25;12001;;;;;MLP;|[70; 70]|;3;0,99804;3:01:50.904666;14000;;;;;;;;;;KNN;1;3;0,9974;0:08:24.507380;;;;;;
DCM;-;0,901;00:00,0;;;;;;;;;;KNN;1;0,997;00:16,1;;KNN;1;0,996;00:15,6;;;41;99,23%;0,27%;0,985;0,998;00:00:17;;;;;;MLP;|[15; 15]|;0,996;55:06,4;;;[ 7 7 ];99,85%;0,07%;99,80%;99,90%;00:45:38;7260;;;;;MLP;|[70; 70]|;4;0,99792;3:01:52.645923;14000;;;;;;;;;;KNN;1;4;0,99772;0:08:21.483451;;;;;;
DCM;-;0,912;00:00,0;;;;;;;;;;KNN;1;0,999;00:15,9;;KNN;1;0,995;00:15,6;;;51;98,93%;0,40%;0,976;0,998;00:00:16;;;;;;MLP;|[17; 17]|;0,999;17:06,8;;;[ 9 9 ];99,70%;0,28%;99,50%;99,90%;00:32:44;5061;;;;;MLP;|[70; 70]|;5;0,99812;3:01:54.402907;14000;;;;;;;;;;KNN;1;5;0,9976;0:08:20.214882;;;;;;
DCM;-;0,901;00:00,0;;;;;;;;;;KNN;1;0,994;00:15,8;;KNN;1;0,996;00:15,7;;;61;98,52%;0,37%;0,977;0,994;00:00:16;;;;;;MLP;|[3; 3]|;0,93;13:18,0;;;[ 11 11 ];99,70%;0,00%;99,70%;99,70%;01:17:01;12001;;;;;MLP;|[70; 70]|;6;0,99784;3:01:56.138529;14000;;;;;;;;;;KNN;1;6;0,99756;0:08:21.076567;;;;;;
DCM;-;0,904;00:00,0;;;;;;;;;;KNN;1;0,998;00:15,6;;KNN;1;0,995;00:15,5;;;71;98,26%;0,43%;0,971;0,991;00:00:16;;;;;;MLP;|[5; 5]|;0,998;11:05,2;; ;[13 13 ];99,70%;0,14%;99,60%;99,80%;00:54:21;8270;;;;;MLP;|[70; 70]|;7;0,99804;3:01:57.856823;14000;;;;;;;;;;KNN;1;7;0,99764;0:08:27.256832;;;;;;
DCM;-;0,908;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,9;;KNN;1;0,997;00:15,7;;;81;98,16%;0,39%;0,971;0,99;00:00:16;;;;;;MLP;|[7; 7]|;0,996;12:40,0;;;[ 15 15 ];99,70%;0,14%;99,60%;99,80%;01:16:25;12000;;;;;MLP;|[70; 70]|;8;0,99808;3:01:59.561154;14000;;;;;;;;;;KNN;1;8;0,99712;0:08:25.694143;;;;;;
DCM;-;0,898;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,8;;KNN;1;0,995;00:15,6;;;91;97,92%;0,41%;0,969;0,992;00:00:16;;;;;;MLP;|[9; 9]|;1;13:12,6;;;[ 17 17 ];99,75%;0,07%;99,70%;99,80%;01:17:15;12000;;;;;MLP;|[70; 70]|;9;0,9978;3:02:01.264023;14000;;;;;;;;;;KNN;1;9;0,99744;0:08:34.802015;;;;;;
DCM;-;0,894;00:00,0;;;;;;;;;;KNN;1;0,998;00:15,8;;KNN;1;0,996;00:15,6;;;;;;;;;;;;;;MLP;|[11; 11]|;0,997;54:21,1;;;[ 20 20 ];99,80%;0,10%;99,70%;99,90%;01:12:45;10926,5;;;;;MLP;|[70; 70]|;10;0,99832;3:02:03.023862;14000;;;;;;;;;;KNN;1;10;0,99748;0:08:21.088457;;;;;;
